date,gross_price_total
2017-10-01,273977.43
2017-11-01,354738.64
2017-12-01,367282.43
2018-02-01,216000.81
2018-03-01,245298.47
2018-04-01,237801.04
2018-06-01,223228.83
2018-07-01,213691.77
2018-08-01,218390.66
2018-10-01,745687.39
2018-11-01,935890.85
2018-12-01,1026330.72
2019-02-01,549691.90
2019-03-01,598299.66
2019-04-01,566002.16
2019-06-01,577554.09
2019-07-01,623404.05
2019-08-01,593418.69
2019-10-01,1735100.70
2019-11-01,2271819.11
2019-12-01,2313139.42
2020-02-01,1392447.88
2020-03-01,343719.44
2020-04-01,1687749.49
2020-06-01,2486977.95
2020-07-01,2784738.72
2020-08-01,1288334.20
2020-10-01,4942029.10
2020-11-01,6392234.23
2020-12-01,6421539.27
2021-02-01,3614565.29
2021-03-01,3606840.14
2021-04-01,3856602.50
2021-06-01,3728275.35
2021-07-01,3862788.41
2021-08-01,3645597.69
2021-10-01,22735992.02
2021-11-01,30191765.42
2021-12-01,31235101.14
